id,drugbank_id,name,type,groups,categories,SMILES,PubChem_CID
95,DB00104,Octreotide,small molecule,approved|investigational,"Amino Acids, Peptides, and Proteins|Antineoplastic Agents|Antineoplastic Agents, Hormonal|Bradycardia-Causing Agents|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 CYP3A4 Inhibitors|Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)|Cytochrome P-450 CYP3A4 Inhibitors (weak)|Cytochrome P-450 Enzyme Inhibitors|Gastrointestinal Agents|Hyperglycemia-Associated Agents|Hypoglycemia-Associated Agents|Hypothalamic Hormones|Miscellaneous Therapeutic Agents|Peptides|Peptides, Cyclic|Pituitary and Hypothalamic Hormones and Analogues|Potential QTc-Prolonging Agents|QTc Prolonging Agents|Somatostatin and Analogues|Somatostatin Receptor Agonists|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O,448601
97,DB00106,Abarelix,small molecule,approved|investigational|withdrawn,"Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Endocrine Therapy|Hormone Antagonists|Hormone Antagonists and Related Agents|Hormones, Hormone Substitutes, and Hormone Antagonists|Peptides",CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,16131215
105,DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,"Alimentary Tract and Metabolism|Coenzymes|Diet, Food, and Nutrition|Dietary Supplements|Enzymes and Coenzymes|Food|Food and Beverages|Growth Substances|Micronutrients|Physiological Phenomena|Picolines|Pyridines|Supplements|Vitamin B Complex|Vitamins",CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,1051
106,DB00115,Cyanocobalamin,small molecule,approved|nutraceutical,"Antianemic Preparations|Blood and Blood Forming Organs|Corrinoids|Diet, Food, and Nutrition|Drugs that are Mainly Renally Excreted|Food|Food and Beverages|Growth Substances|Heterocyclic Compounds, Fused-Ring|Iron Preparations|Micronutrients|Vitamin B 12, biosynthesis|Vitamin B Complex|VITAMIN B12 AND FOLIC ACID|Vitamins",C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,70678590
107,DB00116,Tetrahydrofolic acid,small molecule,nutraceutical,"Biological Factors|Coenzymes|Dietary Supplements|Enzymes and Coenzymes|Folic Acid and Derivatives|Heterocyclic Compounds, Fused-Ring|Pigments, Biological|Pteridines|Pterins|Supplements|Vitamin B Complex|Vitamins",NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,91443
108,DB00117,Histidine,small molecule,investigational|nutraceutical,"Amino Acids|Amino Acids, Cyclic|Amino Acids, Essential|Amino Acids, Peptides, and Proteins|Dietary Supplements|Supplements",N[C@@H](CC1=CNC=N1)C(O)=O,6274
109,DB00118,Ademetionine,small molecule,approved|investigational|nutraceutical,"Alimentary Tract and Metabolism|Amino Acids|Amino Acids and Derivatives|Amino Acids, Essential|Amino Acids, Neutral|Amino Acids, Peptides, and Proteins|Amino Acids, Sulfur|Carbohydrates|Cytochrome P-450 CYP2E1 Inhibitors|Cytochrome P-450 CYP2E1 Inhibitors (weak)|Cytochrome P-450 Enzyme Inhibitors|Dietary Supplements|Glycosides|Heterocyclic Compounds, Fused-Ring|Nucleic Acids, Nucleotides, and Nucleosides|Nucleosides|Purine Nucleosides|Purines|Ribonucleosides|Sulfur Compounds|Supplements",C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,34755
110,DB00119,Pyruvic acid,small molecule,approved|investigational|nutraceutical,Dietary Supplements|Keto Acids|Pyruvates|Supplements,CC(=O)C(O)=O,1060
111,DB00120,Phenylalanine,small molecule,approved|investigational|nutraceutical,"Amino Acids|Amino Acids, Aromatic|Amino Acids, Cyclic|Amino Acids, Essential|Amino Acids, Peptides, and Proteins|Dietary Supplements|Immunosuppressive Agents|Myelosuppressive Agents|Supplements",N[C@@H](CC1=CC=CC=C1)C(O)=O,6140
112,DB00121,Biotin,small molecule,approved|investigational|nutraceutical,"Alimentary Tract and Metabolism|Coenzymes|Diet, Food, and Nutrition|Dietary Supplements|Enzymes and Coenzymes|Food|Food and Beverages|Growth Substances|Imidazoles|Micronutrients|Physiological Phenomena|Supplements|Vitamin B Complex|Vitamins",[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,171548
113,DB00122,Choline,small molecule,approved|nutraceutical,Alcohols|Amines|Amino Alcohols|Ammonium Compounds|Analgesics|Antimetabolites|Central Nervous System Agents|Dietary Supplements|Ethanolamines|Gastrointestinal Agents|Hypolipidemic Agents|Lipid Regulating Agents|Lipotropic Agents|Nervous System|Nitrogen Compounds|Nootropic Agents|Noxae|OCT1 inhibitors|OCT1 substrates|OCT2 Inhibitors|OCT2 Substrates|Onium Compounds|Other Nutritional Agents|Quaternary Ammonium Compounds|Salicylic Acid and Derivatives|Supplements|Toxic Actions|Trimethyl Ammonium Compounds|Vitamin B Complex|Vitamins,C[N+](C)(C)CCO,305
114,DB00123,L-Lysine,small molecule,approved|nutraceutical,"Amino Acids|Amino Acids, Basic|Amino Acids, Diamino|Amino Acids, Essential|Amino Acids, Peptides, and Proteins|Blood and Blood Forming Organs|Blood Substitutes and Perfusion Solutions|Dietary Supplements|I.V. Solution Additives|Lysine|Supplements",NCCCC[C@H](N)C(O)=O,5962
115,DB00125,Arginine,small molecule,investigational|nutraceutical,"Amino Acids|Amino Acids, Basic|Amino Acids, Diamino|Amino Acids, Essential|Amino Acids, Peptides, and Proteins|Arginine|Blood and Blood Forming Organs|Blood Substitutes and Perfusion Solutions|Dietary Supplements|I.V. Solution Additives|Pituitary Function|Supplements",N[C@@H](CCCNC(N)=N)C(O)=O,6322
116,DB00126,Ascorbic acid,small molecule,approved|nutraceutical,"Acids, Acyclic|Alimentary Tract and Metabolism|Antioxidants|Carbohydrates|Compounds used in a research, industrial, or household setting|Diet, Food, and Nutrition|Food|Food and Beverages|Gastrointestinal Acidifying Agents|Genito Urinary System and Sex Hormones|Growth Substances|Gynecological Antiinfectives and Antiseptics|Hydroxy Acids|Micronutrients|Ophthalmologicals|Organic Acids|Physiological Phenomena|Protective Agents|Sensory Organs|Sugar Acids|Urinary Acidifying Agents|Vitamin C and analogues|Vitamins",[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,54670067
117,DB00127,Spermine,small molecule,experimental|nutraceutical,Amines|Biogenic Amines|Biogenic Polyamines|Diamines|Dietary Supplements|OCT1 substrates|Polyamines|Supplements,NCCCNCCCCNCCCN,1103
118,DB00128,Aspartic acid,small molecule,approved|nutraceutical,"Amino Acids|Amino Acids, Acidic|Amino Acids, Dicarboxylic|Amino Acids, Peptides, and Proteins|Dietary Supplements|Excitatory Amino Acids|Supplements",N[C@@H](CC(O)=O)C(O)=O,5960
119,DB00129,Ornithine,small molecule,approved|nutraceutical,"Alimentary Tract and Metabolism|Amino Acids|Amino Acids, Basic|Amino Acids, Diamino|Amino Acids, Peptides, and Proteins|Bile and Liver Therapy|Dietary Supplements|Liver Therapy|Liver Therapy, Lipotropics|Oligopeptides|Peptides|Supplements",NCCC[C@H](N)C(O)=O,6262
120,DB00130,L-Glutamine,small molecule,approved|investigational|nutraceutical,"Alimentary Tract and Metabolism|Amino Acids|Amino Acids and Derivatives|Amino Acids, Basic|Amino Acids, Diamino|Amino Acids, Neutral|Amino Acids, Peptides, and Proteins|Dietary Supplements|Glutamine|Supplements",N[C@@H](CCC(N)=O)C(O)=O,5961
121,DB00131,Adenosine phosphate,small molecule,approved|investigational|nutraceutical,"Adenine Nucleotides|Carbohydrates|Dietary Supplements|Glycosides|Heterocyclic Compounds, Fused-Ring|Nucleic Acids, Nucleotides, and Nucleosides|Nucleotides|Purine Nucleotides|Purines|Ribonucleotides|Supplements",NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,6083
122,DB00132,alpha-Linolenic acid,small molecule,approved|investigational|nutraceutical,"Diet, Food, and Nutrition|Dietary Fats|Dietary Fats, Unsaturated|Dietary Supplements|Fats|Fatty Acids|Fatty Acids, Essential|Fatty Acids, Omega-3|Fatty Acids, Unsaturated|Fish Oils|Food|Food and Beverages|Linolenic Acids|Lipids|Oils|Physiological Phenomena|Supplements",CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,5280934
123,DB00133,Serine,small molecule,investigational|nutraceutical,"Amino Acids|Amino Acids, Neutral|Amino Acids, Peptides, and Proteins|Dietary Supplements|Supplements",N[C@@H](CO)C(O)=O,5951
124,DB00134,Methionine,small molecule,approved|nutraceutical,"Amino Acids|Amino Acids, Essential|Amino Acids, Neutral|Amino Acids, Peptides, and Proteins|Amino Acids, Sulfur|Antidotes|Dietary Supplements|Sulfur Compounds|Supplements",CSCC[C@H](N)C(O)=O,6137
125,DB00135,Tyrosine,small molecule,approved|investigational|nutraceutical,"Amino Acids|Amino Acids, Aromatic|Amino Acids, Cyclic|Amino Acids, Peptides, and Proteins|Dietary Supplements|Supplements",N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,6057
126,DB00136,Calcitriol,small molecule,approved|nutraceutical,"Alimentary Tract and Metabolism|Antipsoriatics|Antipsoriatics for Topical Use|Bone Density Conservation Agents|Calcium-Regulating Hormones and Agents|Cholestanes|Cholestenes|Cytochrome P-450 CYP3A Inducers|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Inducers|Cytochrome P-450 CYP3A4 Inducers (strength unknown)|Cytochrome P-450 CYP3A4 Substrates|Cytochrome P-450 Enzyme Inducers|Cytochrome P-450 Substrates|Diet, Food, and Nutrition|Food|Food and Beverages|Fused-Ring Compounds|Growth Substances|Lipids|Membrane Lipids|Membrane Transport Modulators|Micronutrients|Misc. Skin and Mucous Membrane Agents|Physiological Phenomena|Secosteroids|Steroids|Sterols|Vitamin D and Analogues|Vitamins|Vitamins (Fat Soluble)",C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,5280453
127,DB00137,Lutein,small molecule,approved|investigational|nutraceutical,"Alkenes|Biological Factors|Carotenoids|Cyclohexanes|Cyclohexenes|Cycloparaffins|Dietary Supplements|Hydrocarbons, Acyclic|Pigments, Biological|Polyenes|Supplements|Terpenes|Xanthophylls",C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,5281243
128,DB00138,Cystine,small molecule,approved|nutraceutical,"Acids|Acids, Noncarboxylic|Amino Acids|Amino Acids, Diamino|Amino Acids, Dicarboxylic|Amino Acids, Neutral|Amino Acids, Peptides, and Proteins|Amino Acids, Sulfur|Anions|Cysteine|Dietary Supplements|Disulfides|Electrolytes|Gases|Hydrogen Sulfide|Ions|Sulfhydryl Compounds|Sulfides|Sulfur Compounds|Supplements",N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,67678
129,DB00139,Succinic acid,small molecule,approved|nutraceutical,"Acids, Acyclic|Dicarboxylic Acids|Dietary Supplements|OAT3/SLC22A8 Substrates|Succinates|Supplements",OC(=O)CCC(O)=O,1110
130,DB00140,Riboflavin,small molecule,approved|investigational|nutraceutical|vet_approved,"Alimentary Tract and Metabolism|Biological Factors|Coenzymes|Dermatologicals|Diet, Food, and Nutrition|Enzymes and Coenzymes|Flavins|Food|Food and Beverages|Growth Substances|Heterocyclic Compounds, Fused-Ring|Micronutrients|OAT1/SLC22A6 inhibitors|Ophthalmologicals|Photosensitizing Agents|Physiological Phenomena|Pigments, Biological|Pteridines|Radiation-Sensitizing Agents|Sensory Organs|Vitamin B Complex|Vitamins",CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,493570
131,DB00141,N-Acetylglucosamine,small molecule,approved|investigational|nutraceutical,Dietary Supplements|Supplements,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,1738118
132,DB00142,Glutamic acid,small molecule,approved|nutraceutical,"Acid Preparations|Alimentary Tract and Metabolism|Amino Acids|Amino Acids, Acidic|Amino Acids, Dicarboxylic|Amino Acids, Peptides, and Proteins|Dietary Supplements|Digestives, Incl. Enzymes|Excitatory Amino Acids|Gastrointestinal Acidifying Agents|Gastrointestinal Agents|Glutamates|Supplements",N[C@@H](CCC(O)=O)C(O)=O,33032
133,DB00143,Glutathione,small molecule,approved|investigational|nutraceutical,"Amino Acids, Peptides, and Proteins|Antidotes|Dietary Supplements|Glutathione, antagonists & inhibitors|Oligopeptides|Peptides|Supplements",N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,124886
134,DB00144,Phosphatidyl serine,small molecule,approved|investigational|nutraceutical,Alcohols|Carbohydrates|Dietary Supplements|Glycerophosphates|Glycerophospholipids|Lipids|Membrane Lipids|Phosphatidic Acids|Phosphatidylserines|Phospholipids|Sugar Alcohols|Sugar Phosphates|Supplements|Triose Sugar Alcohols,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,6323481
135,DB00145,Glycine,small molecule,approved|nutraceutical|vet_approved,"Amino Acids|Amino Acids, Peptides, and Proteins|Blood and Blood Forming Organs|Blood Substitutes and Perfusion Solutions|Dietary Supplements|Glycine Agents|Irrigating Solutions|Neurotransmitter Agents|Supplements",NCC(O)=O,750
136,DB00146,Calcifediol,small molecule,approved|nutraceutical,"Alimentary Tract and Metabolism|Bone Density Conservation Agents|Cholestanes|Cholestenes|Diet, Food, and Nutrition|Food|Food and Beverages|Fused-Ring Compounds|Growth Substances|Lipids|Membrane Lipids|Micronutrients|Physiological Phenomena|Secosteroids|Steroids|Sterols|Vitamin D and Analogues|Vitamins|Vitamins (Fat Soluble)",C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,5283731
137,DB00147,Pyridoxal,small molecule,experimental|nutraceutical,"Diet, Food, and Nutrition|Dietary Supplements|Food|Food and Beverages|Growth Substances|Micronutrients|Physiological Phenomena|Picolines|Pyridines|Supplements|Vitamin B Complex|Vitamins",CC1=NC=C(CO)C(C=O)=C1O,1050
138,DB00148,Creatine,small molecule,approved|investigational|nutraceutical,"Amidines|Amino Acids|Amino Acids, Peptides, and Proteins|Dietary Supplements|Guanidines|Supplements",CN(CC(O)=O)C(N)=N,586
139,DB00149,Leucine,small molecule,investigational|nutraceutical,"Amino Acids|Amino Acids, Branched-Chain|Amino Acids, Essential|Amino Acids, Peptides, and Proteins|Dietary Supplements|Supplements",CC(C)C[C@H](N)C(O)=O,6106
